x,y
192.0,2.0
483.0,2.0
34.0,4.0
206.0,3.0
223.0,4.0
252.0,4.0
315.0,4.0
26.0,4.0
41.0,5.0
475.0,6.0
87.0,7.0
280.0,6.0
482.0,7.0
245.0,8.0
374.0,7.0
12.0,8.0
75.0,9.0
196.0,8.0
235.0,8.0
251.0,10.0
41.0,13.0
122.0,14.0
392.0,14.0
438.0,14.0
107.0,15.0
271.0,15.0
282.0,16.0
41.0,18.0
86.0,18.0
47.0,18.0
123.0,18.0
283.0,19.0
383.0,18.0
389.0,18.0
287.0,19.0
328.0,22.0
335.0,22.0
133.0,22.0
29.0,24.0
288.0,25.0
6.0,25.0
10.0,25.0
357.0,26.0
395.0,27.0
85.0,26.0
122.0,28.0
342.0,27.0
352.0,27.0
148.0,29.0
376.0,29.0
370.0,29.0
208.0,30.0
388.0,31.0
122.0,33.0
208.0,33.0
272.0,34.0
403.0,33.0
413.0,34.0
420.0,33.0
324.0,35.0
346.0,36.0
87.0,36.0
416.0,42.0
281.0,44.0
180.0,46.0
356.0,45.0
87.0,48.0
82.0,47.0
356.0,48.0
477.0,47.0
480.0,47.0
414.0,49.0
74.0,49.0
96.0,52.0
173.0,49.0
162.0,51.0
409.0,50.0
482.0,53.0
127.0,55.0
468.0,54.0
119.0,56.0
292.0,56.0
409.0,56.0
283.0,57.0
102.0,58.0
270.0,58.0
414.0,59.0
468.0,59.0
118.0,59.0
164.0,61.0
223.0,62.0
74.0,64.0
118.0,64.0
342.0,64.0
208.0,64.0
205.0,65.0
216.0,65.0
461.0,66.0
63.0,66.0
188.0,67.0
33.0,68.0
44.0,67.0
117.0,68.0
453.0,67.0
164.0,70.0
169.0,69.0
182.0,69.0
186.0,69.0
217.0,72.0
333.0,72.0
117.0,73.0
152.0,72.0
204.0,73.0
416.0,72.0
508.0,72.0
140.0,73.0
315.0,73.0
463.0,74.0
213.0,74.0
380.0,76.0
507.0,79.0
169.0,78.0
470.0,78.0
479.0,78.0
127.0,80.0
133.0,80.0
316.0,79.0
385.0,80.0
437.0,80.0
463.0,80.0
327.0,81.0
432.0,80.0
324.0,81.0
315.0,83.0
383.0,82.0
461.0,82.0
390.0,83.0
266.0,84.0
300.0,85.0
439.0,85.0
449.0,85.0
170.0,87.0
390.0,86.0
265.0,88.0
320.0,88.0
430.0,88.0
236.0,89.0
317.0,88.0
346.0,89.0
387.0,88.0
114.0,90.0
416.0,92.0
496.0,91.0
461.0,92.0
117.0,92.0
387.0,93.0
245.0,93.0
148.0,95.0
173.0,96.0
258.0,96.0
461.0,96.0
504.0,96.0
180.0,97.0
269.0,98.0
314.0,98.0
283.0,99.0
310.0,98.0
361.0,98.0
279.0,104.0
380.0,104.0
181.0,104.0
274.0,104.0
253.0,105.0
316.0,106.0
171.0,107.0
194.0,106.0
458.0,108.0
484.0,107.0
107.0,107.0
192.0,108.0
396.0,109.0
252.0,112.0
180.0,114.0
373.0,114.0
175.0,114.0
192.0,115.0
498.0,114.0
479.0,116.0
407.0,116.0
498.0,116.0
257.0,118.0
457.0,119.0
186.0,122.0
380.0,123.0
407.0,123.0
496.0,123.0
333.0,124.0
387.0,123.0
369.0,126.0
490.0,124.0
408.0,126.0
417.0,125.0
505.0,128.0
100.0,130.0
205.0,131.0
368.0,133.0
407.0,133.0
264.0,133.0
316.0,133.0
494.0,135.0
344.0,135.0
452.0,135.0
498.0,135.0
146.0,138.0
179.0,137.0
314.0,137.0
367.0,138.0
264.0,139.0
307.0,141.0
300.0,141.0
314.0,144.0
178.0,145.0
476.0,144.0
315.0,147.0
359.0,146.0
222.0,148.0
291.0,148.0
359.0,150.0
367.0,153.0
454.0,153.0
346.0,156.0
449.0,156.0
178.0,159.0
151.0,160.0
356.0,160.0
437.0,160.0
212.0,162.0
108.0,163.0
178.0,163.0
209.0,162.0
349.0,162.0
268.0,164.0
370.0,164.0
430.0,164.0
157.0,165.0
313.0,168.0
149.0,169.0
158.0,171.0
153.0,171.0
77.0,173.0
180.0,173.0
495.0,173.0
508.0,174.0
113.0,175.0
393.0,175.0
92.0,177.0
316.0,177.0
422.0,177.0
85.0,177.0
161.0,178.0
75.0,181.0
350.0,179.0
383.0,179.0
388.0,179.0
150.0,182.0
194.0,182.0
180.0,183.0
373.0,183.0
388.0,183.0
4.0,183.0
6.0,183.0
175.0,183.0
258.0,183.0
275.0,186.0
162.0,187.0
503.0,186.0
270.0,187.0
392.0,187.0
182.0,189.0
354.0,190.0
386.0,189.0
397.0,188.0
58.0,190.0
258.0,190.0
363.0,189.0
471.0,189.0
346.0,191.0
172.0,191.0
397.0,192.0
503.0,192.0
363.0,193.0
68.0,194.0
181.0,195.0
380.0,194.0
172.0,196.0
333.0,196.0
499.0,198.0
341.0,196.0
118.0,197.0
265.0,199.0
326.0,197.0
330.0,197.0
357.0,197.0
506.0,198.0
183.0,199.0
215.0,199.0
378.0,201.0
344.0,200.0
136.0,202.0
356.0,202.0
353.0,202.0
310.0,206.0
129.0,207.0
370.0,206.0
126.0,207.0
348.0,208.0
134.0,210.0
218.0,212.0
168.0,211.0
410.0,212.0
298.0,213.0
504.0,215.0
358.0,216.0
125.0,216.0
184.0,216.0
229.0,215.0
419.0,215.0
354.0,216.0
57.0,219.0
129.0,219.0
215.0,220.0
276.0,220.0
61.0,220.0
235.0,220.0
280.0,220.0
358.0,221.0
10.0,224.0
186.0,223.0
206.0,224.0
337.0,224.0
235.0,225.0
216.0,229.0
361.0,228.0
325.0,230.0
163.0,230.0
185.0,231.0
112.0,232.0
109.0,232.0
126.0,233.0
163.0,234.0
120.0,234.0
285.0,235.0
321.0,234.0
310.0,236.0
313.0,236.0
47.0,238.0
438.0,238.0
44.0,238.0
135.0,239.0
171.0,239.0
487.0,240.0
161.0,243.0
171.0,242.0
290.0,244.0
297.0,243.0
318.0,248.0
68.0,245.0
65.0,245.0
186.0,246.0
71.0,246.0
216.0,248.0
274.0,248.0
443.0,248.0
440.0,248.0
487.0,249.0
97.0,252.0
187.0,253.0
230.0,252.0
92.0,253.0
265.0,254.0
258.0,255.0
241.0,257.0
301.0,257.0
435.0,256.0
118.0,258.0
91.0,258.0
267.0,257.0
296.0,258.0
30.0,258.0
87.0,258.0
103.0,258.0
232.0,259.0
111.0,260.0
140.0,260.0
152.0,260.0
198.0,262.0
187.0,263.0
30.0,264.0
84.0,264.0
207.0,263.0
300.0,265.0
141.0,266.0
367.0,266.0
116.0,267.0
493.0,267.0
474.0,268.0
